! R140 Conversion
! Date: 2024-08-14 14:49:30
! Start: 200.00MHz  Stop: 14.00GHz  Points: 167
! Permativity
# Hz e R 50
Frequency           Permativity_Real           Permativity__Imag           Q           Tan           Reflection_Real           Reflection_Imag
1.70000000E+9      8.15690200E+1      1.08501000E+1      1.02612800E+0      1.33017600E-1      1.46032000E-1      -8.55886200E-1
1.75000000E+9      8.14209000E+1      1.10626000E+1      1.07699800E+0      1.35869600E-1      1.20748400E-1      -8.55988000E-1
1.80000000E+9      8.12739800E+1      1.12722200E+1      1.12876000E+0      1.38693800E-1      9.55347800E-2      -8.55499400E-1
1.85000000E+9      8.11277800E+1      1.14781800E+1      1.18131200E+0      1.41483000E-1      7.21316800E-2      -8.54089800E-1
1.90000000E+9      8.09739600E+1      1.16831400E+1      1.23490000E+0      1.44282800E-1      4.91915200E-2      -8.52346600E-1
1.95000000E+9      8.08137200E+1      1.18757600E+1      1.28829400E+0      1.46952400E-1      2.67353600E-2      -8.49649000E-1
2.00000000E+9      8.06626200E+1      1.20682800E+1      1.34274800E+0      1.49614200E-1      5.37139400E-3      -8.47003000E-1
2.05000000E+9      8.05174600E+1      1.22585200E+1      1.39801600E+0      1.52247000E-1      -1.63800800E-2      -8.43848000E-1
2.10000000E+9      8.03834000E+1      1.24478600E+1      1.45423000E+0      1.54856000E-1      -3.74578600E-2      -8.39910800E-1
2.15000000E+9      8.02510800E+1      1.26371000E+1      1.51149000E+0      1.57469400E-1      -5.73702600E-2      -8.35709600E-1
2.20000000E+9      8.01186600E+1      1.28257400E+1      1.56972800E+0      1.60084400E-1      -7.65924800E-2      -8.31635200E-1
2.25000000E+9      7.99887800E+1      1.30165400E+1      1.62928000E+0      1.62729200E-1      -9.54113000E-2      -8.26841400E-1
2.30000000E+9      7.98596200E+1      1.32084000E+1      1.69004200E+0      1.65395200E-1      -1.13840600E-1      -8.21565800E-1
2.35000000E+9      7.97366200E+1      1.34013200E+1      1.75200200E+0      1.68069600E-1      -1.31446200E-1      -8.15833800E-1
2.40000000E+9      7.96173800E+1      1.35971000E+1      1.81542200E+0      1.70780800E-1      -1.48760000E-1      -8.09974000E-1
2.45000000E+9      7.94968400E+1      1.37905600E+1      1.87960600E+0      1.73472800E-1      -1.65314200E-1      -8.04057000E-1
2.50000000E+9      7.93748000E+1      1.39805800E+1      1.94440000E+0      1.76134000E-1      -1.81172200E-1      -7.98221000E-1
2.55000000E+9      7.92463800E+1      1.41623000E+1      2.00906400E+0      1.78712200E-1      -1.96921000E-1      -7.91742400E-1
2.60000000E+9      7.91085800E+1      1.43400600E+1      2.07416600E+0      1.81270600E-1      -2.12117800E-1      -7.85183600E-1
2.65000000E+9      7.89629600E+1      1.45196400E+1      2.14053200E+0      1.83879200E-1      -2.26950000E-1      -7.78323800E-1
2.70000000E+9      7.88099600E+1      1.47034600E+1      2.20852400E+0      1.86568600E-1      -2.39425600E-1      -7.72510200E-1
2.75000000E+9      7.86559000E+1      1.48864600E+1      2.27742000E+0      1.89260600E-1      -2.53048000E-1      -7.65784400E-1
2.80000000E+9      7.85070000E+1      1.50726000E+1      2.34782800E+0      1.91990600E-1      -2.66485000E-1      -7.58728200E-1
2.85000000E+9      7.83627000E+1      1.52586200E+1      2.41924000E+0      1.94717400E-1      -2.79383400E-1      -7.51463800E-1
2.90000000E+9      7.82205600E+1      1.54394800E+1      2.49086400E+0      1.97383800E-1      -2.91203400E-1      -7.44747000E-1
2.95000000E+9      7.80829600E+1      1.56100200E+1      2.56179800E+0      1.99916000E-1      -3.02560000E-1      -7.38353000E-1
3.00000000E+9      7.79465200E+1      1.57746400E+1      2.63269200E+0      2.02377600E-1      -3.13258200E-1      -7.31902600E-1
3.05000000E+9      7.78090400E+1      1.59341000E+1      2.70362800E+0      2.04784800E-1      -3.23898200E-1      -7.24924400E-1
