! R140 Conversion
! Date: 2024-08-14 14:49:52
! Start: 200.00MHz  Stop: 14.00GHz  Points: 167
! Permativity
# Hz e R 50
Frequency           Permativity_Real           Permativity__Imag           Q           Tan           Reflection_Real           Reflection_Imag
1.70000000E+9      7.90468600E+1      7.16776000E+0      6.77878400E-1      9.06773400E-2      1.83202000E-1      -8.88203000E-1
1.75000000E+9      7.90019800E+1      7.37170800E+0      7.17671400E-1      9.33104400E-2      1.56078400E-1      -8.89755600E-1
1.80000000E+9      7.89577200E+1      7.57378000E+0      7.58411200E-1      9.59219800E-2      1.28966600E-1      -8.90387200E-1
1.85000000E+9      7.89132800E+1      7.77457400E+0      8.00143400E-1      9.85204600E-2      1.03354600E-1      -8.89796400E-1
1.90000000E+9      7.88654200E+1      7.97673400E+0      8.43136800E-1      1.01143400E-1      7.85992800E-2      -8.88451800E-1
1.95000000E+9      7.88086600E+1      8.17483400E+0      8.86814600E-1      1.03730000E-1      5.47496000E-2      -8.86513800E-1
2.00000000E+9      7.87541800E+1      8.37503600E+0      9.31828800E-1      1.06343800E-1      3.18345600E-2      -8.84712000E-1
2.05000000E+9      7.86980400E+1      8.57351800E+0      9.77760200E-1      1.08941800E-1      8.44503200E-3      -8.82372800E-1
2.10000000E+9      7.86508400E+1      8.77148800E+0      1.02473600E+0      1.11524400E-1      -1.44945600E-2      -8.79232000E-1
2.15000000E+9      7.86043000E+1      8.97300000E+0      1.07323600E+0      1.14154000E-1      -3.64079200E-2      -8.75370400E-1
2.20000000E+9      7.85532200E+1      9.17344000E+0      1.12272600E+0      1.16779800E-1      -5.76099400E-2      -8.71421400E-1
2.25000000E+9      7.85055400E+1      9.37509600E+0      1.17348600E+0      1.19419600E-1      -7.82772800E-2      -8.66693600E-1
2.30000000E+9      7.84557400E+1      9.57858600E+0      1.22560200E+0      1.22089200E-1      -9.83875600E-2      -8.61216800E-1
2.35000000E+9      7.84096400E+1      9.78081000E+0      1.27868200E+0      1.24740000E-1      -1.17700000E-1      -8.55363600E-1
2.40000000E+9      7.83671600E+1      9.98847800E+0      1.33361200E+0      1.27457200E-1      -1.36450400E-1      -8.49298000E-1
2.45000000E+9      7.83208200E+1      1.01971400E+1      1.38984000E+0      1.30197400E-1      -1.54336200E-1      -8.42982200E-1
2.50000000E+9      7.82719200E+1      1.04063600E+1      1.44729600E+0      1.32951200E-1      -1.71520400E-1      -8.36880400E-1
2.55000000E+9      7.82173800E+1      1.06136000E+1      1.50564000E+0      1.35693400E-1      -1.88371200E-1      -8.30166000E-1
2.60000000E+9      7.81514200E+1      1.08194200E+1      1.56493600E+0      1.38441600E-1      -2.04796200E-1      -8.23410000E-1
2.65000000E+9      7.80752000E+1      1.10254200E+1      1.62540200E+0      1.41215400E-1      -2.20992400E-1      -8.16393000E-1
2.70000000E+9      7.79911600E+1      1.12324400E+1      1.68716400E+0      1.44022000E-1      -2.35132600E-1      -8.10027800E-1
2.75000000E+9      7.79049600E+1      1.14347200E+1      1.74935600E+0      1.46778000E-1      -2.49976400E-1      -8.02805200E-1
2.80000000E+9      7.78216000E+1      1.16375600E+1      1.81275600E+0      1.49541400E-1      -2.64330600E-1      -7.95123600E-1
2.85000000E+9      7.77399600E+1      1.18405200E+1      1.87730600E+0      1.52309200E-1      -2.78195800E-1      -7.87355200E-1
2.90000000E+9      7.76598800E+1      1.20387000E+1      1.94221400E+0      1.55017800E-1      -2.91059600E-1      -7.79964200E-1
2.95000000E+9      7.75825000E+1      1.22293800E+1      2.00699200E+0      1.57630600E-1      -3.03375200E-1      -7.72807800E-1
3.00000000E+9      7.75057200E+1      1.24165800E+1      2.07225200E+0      1.60202200E-1      -3.15204600E-1      -7.65703600E-1
3.05000000E+9      7.74274200E+1      1.26014000E+1      2.13815000E+0      1.62750800E-1      -3.26964400E-1      -7.58127800E-1
3.10000000E+9      7.73474000E+1      1.27862800E+1      2.20508800E+0      1.65310200E-1      -3.38485600E-1      -7.50614400E-1
3.15000000E+9      7.72663200E+1      1.29744400E+1      2.27362200E+0      1.67918400E-1      -3.49843200E-1      -7.42643200E-1
3.20000000E+9      7.71818200E+1      1.31653600E+1      2.34370000E+0      1.70575800E-1      -3.60883600E-1      -7.34887600E-1
3.25000000E+9      7.71001400E+1      1.33583000E+1      2.41520600E+0      1.73258800E-1      -3.71528600E-1      -7.27209000E-1
3.30000000E+9      7.70219600E+1      1.35491600E+1      2.48739800E+0      1.75913000E-1      -3.81817400E-1      -7.19769600E-1
3.35000000E+9      7.69482600E+1      1.37382000E+1      2.56031800E+0      1.78538000E-1      -3.91807400E-1      -7.12605200E-1
3.40000000E+9      7.68759600E+1      1.39231200E+1      2.63351200E+0      1.81111400E-1      -4.01126800E-1      -7.05352200E-1
3.45000000E+9      7.67975800E+1      1.41037800E+1      2.70691200E+0      1.83648800E-1      -4.09733800E-1      -6.97922200E-1
3.50000000E+9      7.67207200E+1      1.42868600E+1      2.78179200E+0      1.86219200E-1      -4.18286200E-1      -6.90897200E-1
3.55000000E+9      7.66400200E+1      1.44702400E+1      2.85774400E+0      1.88807600E-1      -4.26422200E-1      -6.82987600E-1
3.60000000E+9      7.65538600E+1      1.46577400E+1      2.93554800E+0      1.91469800E-1      -4.34259400E-1      -6.74978000E-1
3.65000000E+9      7.64636400E+1      1.48455200E+1      3.01444800E+0      1.94151400E-1      -4.42194200E-1      -6.67316000E-1
3.70000000E+9      7.63732800E+1      1.50329800E+1      3.09432600E+0      1.96835600E-1      -4.50215400E-1      -6.60110800E-1
3.75000000E+9      7.62844600E+1      1.52233200E+1      3.17585000E+0      1.99560000E-1      -4.57906800E-1      -6.53184800E-1
3.80000000E+9      7.61993200E+1      1.54097000E+1      3.25759600E+0      2.02228800E-1      -4.65357600E-1      -6.46170600E-1
3.85000000E+9      7.61153400E+1      1.55914400E+1      3.33938600E+0      2.04839600E-1      -4.72425400E-1      -6.39392200E-1
3.90000000E+9      7.60309800E+1      1.57693600E+1      3.42135400E+0      2.07406800E-1      -4.79030800E-1      -6.32458600E-1
3.95000000E+9      7.59417400E+1      1.59426600E+1      3.50330000E+0      2.09932800E-1      -4.84797000E-1      -6.25713200E-1
4.00000000E+9      7.58467400E+1      1.61148200E+1      3.58595400E+0      2.12465600E-1      -4.90721400E-1      -6.18550400E-1
4.05000000E+9      7.57482800E+1      1.62850800E+1      3.66914000E+0      2.14989200E-1      -4.96629800E-1      -6.11468000E-1
4.10000000E+9      7.56564400E+1      1.64562600E+1      3.75347800E+0      2.17513000E-1      -5.02618200E-1      -6.04286800E-1
4.15000000E+9      7.55662200E+1      1.66337000E+1      3.84022000E+0      2.20120800E-1      -5.08673400E-1      -5.97548600E-1
4.20000000E+9      7.54571200E+1      1.68057000E+1      3.92668000E+0      2.22718400E-1      -5.14450800E-1      -5.91265400E-1
4.25000000E+9      7.53524400E+1      1.69797600E+1      4.01457400E+0      2.25337800E-1      -5.19763800E-1      -5.85074600E-1
4.30000000E+9      7.52582200E+1      1.71515000E+1      4.10289000E+0      2.27902000E-1      -5.24900600E-1      -5.78915400E-1
4.35000000E+9      7.51679400E+1      1.73229600E+1      4.19209200E+0      2.30457000E-1      -5.29306400E-1      -5.72573400E-1
4.40000000E+9      7.50808800E+1      1.74903200E+1      4.28124200E+0      2.32952800E-1      -5.33824600E-1      -5.66356600E-1
4.45000000E+9      7.50006400E+1      1.76612400E+1      4.37221000E+0      2.35481400E-1      -5.38424000E-1      -5.60128000E-1
4.50000000E+9      7.49214000E+1      1.78254800E+1      4.46244600E+0      2.37922600E-1      -5.42858200E-1      -5.53334800E-1
4.55000000E+9      7.48404800E+1      1.80050400E+1      4.55748200E+0      2.40579000E-1      -5.47667200E-1      -5.46675600E-1
4.60000000E+9      7.47482000E+1      1.81768000E+1      4.65151400E+0      2.43173800E-1      -5.52395400E-1      -5.40332400E-1
4.65000000E+9      7.46674200E+1      1.83596200E+1      4.74937000E+0      2.45885400E-1      -5.57021200E-1      -5.34372400E-1
4.70000000E+9      7.45869800E+1      1.85336400E+1      4.84593600E+0      2.48483600E-1      -5.61142600E-1      -5.28861400E-1
4.75000000E+9      7.45087400E+1      1.87055200E+1      4.94291000E+0      2.51051200E-1      -5.64669600E-1      -5.23414800E-1
4.80000000E+9      7.44333000E+1      1.88772200E+1      5.04079200E+0      2.53612800E-1      -5.67950400E-1      -5.17751200E-1
4.85000000E+9      7.43611200E+1      1.90481000E+1      5.13940600E+0      2.56156800E-1      -5.72409600E-1      -5.11414800E-1
4.90000000E+9      7.42948200E+1      1.92138600E+1      5.23757600E+0      2.58616600E-1      -5.76785200E-1      -5.04365000E-1
4.95000000E+9      7.42168000E+1      1.93535000E+1      5.32947600E+0      2.60770400E-1      -5.78704600E-1      -4.99860200E-1
5.00000000E+9      7.41397400E+1      1.95268200E+1      5.43151400E+0      2.63378600E-1      -5.81653400E-1      -4.94051800E-1
5.05000000E+9      7.40523200E+1      1.96754600E+1      5.52758400E+0      2.65696600E-1      -5.85653400E-1      -4.88307000E-1
5.10000000E+9      7.39624600E+1      1.98261000E+1      5.62505400E+0      2.68056400E-1      -5.88988600E-1      -4.82797800E-1
5.15000000E+9      7.38626000E+1      1.99975000E+1      5.72931400E+0      2.70739400E-1      -5.92162800E-1      -4.77907000E-1
5.20000000E+9      7.37662800E+1      2.01627200E+1      5.83273000E+0      2.73332400E-1      -5.95461400E-1      -4.72113600E-1
5.25000000E+9      7.36702800E+1      2.03291000E+1      5.93741200E+0      2.75947400E-1      -5.99114600E-1      -4.67732600E-1
5.30000000E+9      7.35787200E+1      2.04899800E+1      6.04138600E+0      2.78476800E-1      -6.01366400E-1      -4.61315400E-1
5.35000000E+9      7.34948200E+1      2.06420600E+1      6.14365400E+0      2.80864200E-1      -6.02919200E-1      -4.57647000E-1
5.40000000E+9      7.34083600E+1      2.08014200E+1      6.24893400E+0      2.83365600E-1      -6.05811400E-1      -4.51249000E-1
5.45000000E+9      7.33278000E+1      2.09438800E+1      6.34998600E+0      2.85619800E-1      -6.08789600E-1      -4.46822000E-1
5.50000000E+9      7.32414600E+1      2.10762800E+1      6.44875200E+0      2.87764200E-1      -6.11222000E-1      -4.42441000E-1
5.55000000E+9      7.31596800E+1      2.12418200E+1      6.55849000E+0      2.90348800E-1      -6.13265800E-1      -4.37199800E-1
5.60000000E+9      7.30717000E+1      2.13858400E+1      6.66244600E+0      2.92669200E-1      -6.15201000E-1      -4.31931600E-1
5.65000000E+9      7.29791400E+1      2.15461200E+1      6.77231000E+0      2.95236800E-1      -6.17945400E-1      -4.26295000E-1
5.70000000E+9      7.28597200E+1      2.17090200E+1      6.88389600E+0      2.97956600E-1      -6.20683800E-1      -4.24313800E-1
5.75000000E+9      7.27418200E+1      2.18758000E+1      6.99764400E+0      3.00732600E-1      -6.22103600E-1      -4.16461200E-1
5.80000000E+9      7.26223200E+1      2.20347200E+1      7.10976000E+0      3.03415200E-1      -6.24812400E-1      -4.13733000E-1
5.85000000E+9      7.24978400E+1      2.21898400E+1      7.22152600E+0      3.06075800E-1      -6.27805800E-1      -4.09708000E-1
5.90000000E+9      7.23742200E+1      2.23507800E+1      7.33606800E+0      3.08822200E-1      -6.28186000E-1      -4.04220200E-1
5.95000000E+9      7.22376600E+1      2.25052200E+1      7.44937200E+0      3.11544400E-1      -6.30167800E-1      -4.00215000E-1
6.00000000E+9      7.21031200E+1      2.26622000E+1      7.56437600E+0      3.14303600E-1      -6.31230800E-1      -3.96157400E-1
6.25000000E+9      7.16500600E+1      2.36473600E+1      8.22208600E+0      3.30040600E-1      -6.38785600E-1      -3.72893600E-1
6.50000000E+9      7.09459000E+1      2.43860600E+1      8.81808600E+0      3.43727600E-1      -6.44673400E-1      -3.54647800E-1
6.75000000E+9      7.02298800E+1      2.51462600E+1      9.44270600E+0      3.58056800E-1      -6.50040000E-1      -3.33958600E-1
7.00000000E+9      6.95344400E+1      2.58117200E+1      1.00515800E+1      3.71208000E-1      -6.55237000E-1      -3.19235000E-1
7.25000000E+9      6.88070000E+1      2.64448600E+1      1.06659200E+1      3.84334200E-1      -6.58177600E-1      -3.00784400E-1
7.50000000E+9      6.81152200E+1      2.70439200E+1      1.12836800E+1      3.97032800E-1      -6.61380200E-1      -2.86801200E-1
7.75000000E+9      6.73451400E+1      2.75750400E+1      1.18887600E+1      4.09458600E-1      -6.65068400E-1      -2.69948000E-1
8.00000000E+9      6.66693200E+1      2.80548000E+1      1.24858000E+1      4.20805200E-1      -6.64515600E-1      -2.55938800E-1
8.25000000E+9      6.59207400E+1      2.85715000E+1      1.31131400E+1      4.33422000E-1      -6.66988200E-1      -2.43779800E-1
8.50000000E+9      6.52456800E+1      2.89935800E+1      1.37101000E+1      4.44376000E-1      -6.68001800E-1      -2.30628200E-1
8.75000000E+9      6.45322600E+1      2.95500200E+1      1.43841800E+1      4.57911000E-1      -6.69589600E-1      -2.20904600E-1
9.00000000E+9      6.38968000E+1      2.99670000E+1      1.50039200E+1      4.68990800E-1      -6.69385200E-1      -2.06912800E-1
9.25000000E+9      6.31879200E+1      3.04102000E+1      1.56487600E+1      4.81267000E-1      -6.70863800E-1      -1.97898000E-1
9.50000000E+9      6.25437800E+1      3.09097000E+1      1.63357200E+1      4.94210400E-1      -6.71196200E-1      -1.86881000E-1
9.75000000E+9      6.19233800E+1      3.13433600E+1      1.70008200E+1      5.06164800E-1      -6.68879800E-1      -1.75944400E-1
1.00000000E+10      6.12469400E+1      3.18327000E+1      1.77089600E+1      5.19745400E-1      -6.72104600E-1      -1.66453600E-1
1.02500000E+10      6.05815200E+1      3.21381800E+1      1.83258800E+1      5.30496400E-1      -6.68743000E-1      -1.59489000E-1
1.05000000E+10      5.99159400E+1      3.23853200E+1      1.89172200E+1      5.40514000E-1      -6.68610200E-1      -1.48605000E-1
1.07500000E+10      5.91862800E+1      3.27879400E+1      1.96084000E+1      5.53980400E-1      -6.69452800E-1      -1.40655000E-1
1.10000000E+10      5.84696000E+1      3.31510400E+1      2.02866200E+1      5.66982400E-1      -6.66601200E-1      -1.31523000E-1
1.12500000E+10      5.77508600E+1      3.35421200E+1      2.09924200E+1      5.80811200E-1      -6.68021800E-1      -1.23831600E-1
1.15000000E+10      5.69474800E+1      3.38691600E+1      2.16681400E+1      5.94748400E-1      -6.60803200E-1      -1.17184600E-1
1.17500000E+10      5.62093600E+1      3.40948800E+1      2.22867400E+1      6.06575800E-1      -6.65530600E-1      -1.11277000E-1
1.20000000E+10      5.54300400E+1      3.43822400E+1      2.29527600E+1      6.20286000E-1      -6.58960000E-1      -1.03193400E-1
1.22500000E+10      5.47554400E+1      3.45564200E+1      2.35496200E+1      6.31107600E-1      -6.62791600E-1      -1.01445800E-1
1.25000000E+10      5.40448400E+1      3.47524400E+1      2.41665600E+1      6.43031600E-1      -6.54647600E-1      -9.06582400E-2
1.27500000E+10      5.34662800E+1      3.49207400E+1      2.47692400E+1      6.53136000E-1      -6.59352600E-1      -8.84467800E-2
1.30000000E+10      5.28483400E+1      3.50718200E+1      2.53641800E+1      6.63631200E-1      -6.53035600E-1      -8.43645800E-2
1.32500000E+10      5.23300200E+1      3.52224200E+1      2.59629800E+1      6.73083400E-1      -6.53333400E-1      -7.49611800E-2
1.35000000E+10      5.18146000E+1      3.53799000E+1      2.65711000E+1      6.82821400E-1      -6.54046000E-1      -7.13409800E-2
1.37500000E+10      5.13764600E+1      3.54911600E+1      2.71482400E+1      6.90815800E-1      -6.51113200E-1      -6.10353200E-2
1.40000000E+10      5.09224000E+1      3.56112400E+1      2.77354200E+1      6.99341400E-1      -6.52342200E-1      -6.14482000E-2
