! NanoVNA-App
! Date: 2024-06-25 16:23:15
! Start: 200.00MHz  Stop: 6.00GHz  Points: 801
! S-Parameter data: F S11
# Hz S RI R 50
Frequency           S1_Real           S1_Imag           S11_Real           S11_Imag           S21_Real           S21_Imag
2.00000000E+8      1.07374182E+9      0.00000000E+0      5.29208902E-1      1.20907771E-1      -3.04337591E-5      1.76765025E-6
2.07250000E+8      1.07374182E+9      0.00000000E+0      5.30417686E-1      2.32527593E-2      -9.30763781E-6      1.68690458E-5
2.14500000E+8      1.07374182E+9      0.00000000E+0      5.29626481E-1      -7.32890004E-2      1.18734315E-5      3.18419188E-6
2.21750000E+8      1.07374182E+9      0.00000000E+0      5.27249679E-1      -1.78317893E-1      -2.94297934E-7      -7.48131424E-6
2.29000000E+8      1.07374182E+9      0.00000000E+0      5.23630710E-1      -3.03226875E-1      2.34739855E-5      -1.83898956E-5
2.36250000E+8      1.07374182E+9      0.00000000E+0      5.14305401E-1      -4.73018684E-1      9.84407961E-6      -7.71507621E-6
2.43500000E+8      1.07374182E+9      0.00000000E+0      4.92269374E-1      -7.42151138E-1      1.77323818E-6      -7.72904605E-6
2.50750000E+8      1.07374182E+9      0.00000000E+0      4.11150840E-1      -1.31644202E+0      2.74777412E-5      2.84621492E-5
2.58000000E+8      1.07374182E+9      0.00000000E+0      -5.19845668E-1      -3.80569572E+0      -7.57351518E-6      -1.31409615E-5
2.65250000E+8      1.07374182E+9      0.00000000E+0      -5.56000438E-1      3.81560293E+0      2.67606229E-5      1.68019906E-5
2.72500000E+8      1.07374182E+9      0.00000000E+0      4.07541262E-1      1.29812853E+0      2.43261456E-5      3.01748514E-7
2.79750000E+8      1.07374182E+9      0.00000000E+0      4.88257684E-1      7.21015533E-1      -2.71014869E-7      -2.98162922E-5
2.87000000E+8      1.07374182E+9      0.00000000E+0      5.09925800E-1      4.45891544E-1      3.18577513E-5      2.01519579E-5
2.94250000E+8      1.07374182E+9      0.00000000E+0      5.18992217E-1      2.72209028E-1      2.16970220E-5      -6.79306686E-6
3.01500000E+8      1.07374182E+9      0.00000000E+0      5.23656496E-1      1.39639257E-1      2.70875171E-5      -1.17346644E-7
3.08750000E+8      1.07374182E+9      0.00000000E+0      5.25981434E-1      2.39716746E-2      5.28898090E-6      -1.65179372E-5
3.16000000E+8      1.07374182E+9      0.00000000E+0      5.27005531E-1      -8.94900976E-2      -8.91368836E-6      -1.35898590E-5
3.23250000E+8      1.07374182E+9      0.00000000E+0      5.26179105E-1      -2.14901651E-1      -2.66302377E-5      2.47349963E-5
3.30500000E+8      1.07374182E+9      0.00000000E+0      5.22442424E-1      -3.72702774E-1      -1.70152634E-5      9.13720578E-6
3.37750000E+8      1.07374182E+9      0.00000000E+0      5.09539153E-1      -6.06749759E-1      1.05984509E-5      -2.16839835E-5
3.45000000E+8      1.07374182E+9      0.00000000E+0      4.48699269E-1      -1.06619172E+0      -2.71750614E-5      1.79000199E-6
3.52250000E+8      1.07374182E+9      0.00000000E+0      -1.47403276E-1      -2.58575674E+0      -2.42339447E-5      -1.72667205E-5
3.59500000E+8      1.07374182E+9      0.00000000E+0      -2.40889836E+0      3.62040924E+0      -8.08015466E-6      -3.13855708E-6
3.66750000E+8      1.07374182E+9      0.00000000E+0      1.59146554E-1      1.28696911E+0      5.00101596E-5      -3.76133248E-5
3.74000000E+8      1.07374182E+9      0.00000000E+0      3.57599663E-1      6.87698418E-1      -2.60099769E-5      7.31647015E-6
3.81250000E+8      1.07374182E+9      0.00000000E+0      4.13259544E-1      4.08049857E-1      1.65030360E-6      -6.75208867E-7
3.88500000E+8      1.07374182E+9      0.00000000E+0      4.33349513E-1      2.33495535E-1      2.69906595E-5      -2.61310488E-5
3.95750000E+8      1.07374182E+9      0.00000000E+0      4.40434607E-1      9.89783114E-2      -6.20791689E-5      -1.47940591E-5
4.03000000E+8      1.07374182E+9      0.00000000E+0      4.38385472E-1      -1.98902893E-2      -8.64267349E-6      -1.66520476E-5
4.10250000E+8      1.07374182E+9      0.00000000E+0      4.28058051E-1      -1.38581275E-1      1.75572932E-5      1.13118440E-5
4.17500000E+8      1.07374182E+9      0.00000000E+0      4.05025336E-1      -2.71623041E-1      -6.08898699E-6      -1.14580616E-5
4.24750000E+8      1.07374182E+9      0.00000000E+0      3.57149292E-1      -4.41555951E-1      -4.29991633E-6      -1.62608922E-6
4.32000000E+8      1.07374182E+9      0.00000000E+0      2.46647398E-1      -6.88548297E-1      -4.00133431E-5      -4.20995057E-5
4.39250000E+8      1.07374182E+9      0.00000000E+0      -9.22373077E-2      -1.11065900E+0      -4.33791429E-5      1.17029995E-5
4.46500000E+8      1.07374182E+9      0.00000000E+0      -1.68494007E+0      -1.43538129E+0      -4.07602638E-5      -2.15712935E-5
4.53750000E+8      1.07374182E+9      0.00000000E+0      -1.45255568E+0      1.76308291E+0      -1.75442547E-5      9.02451575E-7
4.61000000E+8      1.07374182E+9      0.00000000E+0      7.71781315E-2      1.21535730E+0      -4.40981239E-6      1.81263313E-5
4.68250000E+8      1.07374182E+9      0.00000000E+0      3.66630962E-1      7.55759303E-1      -3.93725932E-5      1.25914812E-6
4.75500000E+8      1.07374182E+9      0.00000000E+0      4.54445097E-1      4.95615414E-1      -1.47912651E-5      -1.11637637E-5
4.82750000E+8      1.07374182E+9      0.00000000E+0      4.91087045E-1      3.27562360E-1      4.74043190E-7      -1.11795962E-5
4.90000000E+8      1.07374182E+9      0.00000000E+0      5.09795401E-1      2.00609602E-1      -5.93066216E-6      -5.92600554E-6
4.97250000E+8      1.07374182E+9      0.00000000E+0      5.22057555E-1      9.41321341E-2      -1.78189948E-5      6.22589141E-6
5.04500000E+8      1.07374182E+9      0.00000000E+0      5.31497409E-1      -4.61231963E-3      -1.23744830E-5      -1.06096268E-5
5.11750000E+8      1.07374182E+9      0.00000000E+0      5.40646252E-1      -1.04545005E-1      -3.05790454E-5      -2.94782221E-5
5.19000000E+8      1.07374182E+9      0.00000000E+0      5.51970924E-1      -2.14740721E-1      1.04121864E-6      -6.63474202E-6
5.26250000E+8      1.07374182E+9      0.00000000E+0      5.70234487E-1      -3.49718619E-1      -2.07126141E-6      -9.07015055E-6
5.33500000E+8      1.07374182E+9      0.00000000E+0      6.06534512E-1      -5.36232281E-1      1.27740204E-5      -2.23750249E-5
5.40750000E+8      1.07374182E+9      0.00000000E+0      7.01247834E-1      -8.40350726E-1      -5.92824072E-5      -3.74065712E-5
5.48000000E+8      1.07374182E+9      0.00000000E+0      1.08374472E+0      -1.44462774E+0      -1.00955367E-5      -4.29796055E-5
5.55250000E+8      1.07374182E+9      0.00000000E+0      3.75342823E+0      -1.67858096E+0      -6.13182783E-6      1.08191743E-5
5.62500000E+8      1.07374182E+9      0.00000000E+0      2.00891061E+0      1.76868231E+0      5.38080931E-5      -2.60202214E-5
5.69750000E+8      1.07374182E+9      0.00000000E+0      9.65113609E-1      1.03711642E+0      -9.76212323E-6      2.89902091E-5
5.77000000E+8      1.07374182E+9      0.00000000E+0      7.47911575E-1      6.51512893E-1      -7.66012818E-6      -2.82796100E-5
5.84250000E+8      1.07374182E+9      0.00000000E+0      6.71109157E-1      4.30458929E-1      -2.11438164E-5      8.41543078E-6
5.91500000E+8      1.07374182E+9      0.00000000E+0      6.36629142E-1      2.81480093E-1      1.17067248E-5      2.38511711E-6
5.98750000E+8      1.07374182E+9      0.00000000E+0      6.17741921E-1      1.64087251E-1      -1.69826671E-5      -1.64024532E-5
6.06000000E+8      1.07374182E+9      0.00000000E+0      6.07560146E-1      6.35264804E-2      5.41005284E-6      3.30451876E-5
6.13250000E+8      1.07374182E+9      0.00000000E+0      6.02431208E-1      -3.16893340E-2      1.89505517E-5      1.74846500E-5
6.20500000E+8      1.07374182E+9      0.00000000E+0      6.01174501E-1      -1.30935656E-1      1.21314079E-5      2.69105658E-5
6.27750000E+8      1.07374182E+9      0.00000000E+0      6.03505955E-1      -2.44710471E-1      4.39770520E-6      1.85798854E-6
6.35000000E+8      1.07374182E+9      0.00000000E+0      6.10794410E-1      -3.87547782E-1      3.60142440E-6      -1.32983550E-5
6.42250000E+8      1.07374182E+9      0.00000000E+0      6.23873036E-1      -6.00055460E-1      1.32899731E-6      -3.54656950E-5
6.49500000E+8      1.07374182E+9      0.00000000E+0      6.51694447E-1      -9.93405261E-1      -1.49458647E-5      -3.16882506E-5
6.56750000E+8      1.07374182E+9      0.00000000E+0      6.93740440E-1      -2.15502099E+0      2.39908695E-6      -2.69096345E-5
6.64000000E+8      1.07374182E+9      0.00000000E+0      -1.50400053E+1      1.54685092E+1      2.57976353E-5      -1.55018643E-5
6.71250000E+8      1.07374182E+9      0.00000000E+0      1.77367143E-1      1.80080359E+0      -2.24681571E-5      5.28246164E-6
6.78500000E+8      1.07374182E+9      0.00000000E+0      3.66368627E-1      8.71333480E-1      2.72868201E-5      2.31433660E-6
6.85750000E+8      1.07374182E+9      0.00000000E+0      4.17930190E-1      5.22159158E-1      -6.47455454E-6      2.91625038E-5
6.93000000E+8      1.07374182E+9      0.00000000E+0      4.38724871E-1      3.21733734E-1      -7.51391053E-6      1.15958974E-5
7.00250000E+8      1.07374182E+9      0.00000000E+0      4.45527119E-1      1.78381621E-1      -8.08946788E-6      -1.67805701E-5
7.07500000E+8      1.07374182E+9      0.00000000E+0      4.44500121E-1      6.26093522E-2      1.09774992E-5      3.01320106E-5
